"id","polygon"
building_583,POINT(2.34866 48.86196)
building_584,POINT(2.34912 48.86194)
building_585,POINT(2.34892 48.86199)
building_586,POINT(2.3488 48.86205)
building_587,POINT(2.34866 48.86225)
building_588,POINT(2.34408 48.8615)
building_589,POINT(2.3441 48.86159)
building_590,POINT(2.34404 48.86174)
building_591,POINT(2.34425 48.86144)
building_592,POINT(2.33217 48.86415)
building_593,POINT(2.33265 48.86419)
building_594,POINT(2.33377 48.86624)
building_595,POINT(2.3332 48.86546)
building_596,POINT(2.33329 48.86558)
building_597,POINT(2.3334 48.86573)
building_598,POINT(2.33271 48.8648)
building_600,POINT(2.33303 48.86524)
building_601,POINT(2.3324 48.8643)
building_602,POINT(2.33249 48.86441)
building_603,POINT(2.3325 48.86452)
building_604,POINT(2.33315 48.86495)
building_605,POINT(2.33326 48.8651)
building_606,POINT(2.33338 48.86525)
building_607,POINT(2.33351 48.86543)
building_608,POINT(2.34923 48.86202)
building_610,POINT(2.34965 48.86217)
building_611,POINT(2.34937 48.86234)
building_612,POINT(2.34846 48.86272)
building_614,POINT(2.34805 48.86253)
building_615,POINT(2.34797 48.86254)
building_616,POINT(2.33574 48.86397)
building_617,POINT(2.33594 48.86414)
building_618,POINT(2.33609 48.86436)
building_620,POINT(2.3364 48.86503)
building_621,POINT(2.33657 48.86528)
building_622,POINT(2.33617 48.86592)
building_623,POINT(2.337 48.86617)
building_624,POINT(2.33708 48.86627)
building_625,POINT(2.33715 48.86638)
building_626,POINT(2.3372 48.86648)
building_627,POINT(2.33626 48.86437)
building_628,POINT(2.33638 48.8646)
building_629,POINT(2.33651 48.86485)
building_630,POINT(2.3366 48.86502)
building_631,POINT(2.33671 48.86523)
building_632,POINT(2.33685 48.8655)
building_633,POINT(2.33689 48.86558)
building_634,POINT(2.33698 48.86575)
building_635,POINT(2.33708 48.86593)
building_636,POINT(2.33711 48.86599)
building_638,POINT(2.33737 48.86648)
building_639,POINT(2.3374 48.86654)
building_640,POINT(2.34155 48.86055)
building_641,POINT(2.3414 48.86059)
building_642,POINT(2.34094 48.86067)
building_644,POINT(2.34545 48.85929)
building_645,POINT(2.34527 48.85935)
building_646,POINT(2.34696 48.8588)
building_647,POINT(2.34681 48.85885)
building_648,POINT(2.34666 48.8589)
building_649,POINT(2.34774 48.85855)
building_652,POINT(2.34668 48.85913)
building_653,POINT(2.34607 48.85933)
building_654,POINT(2.34595 48.85937)
building_656,POINT(2.34304 48.86031)
building_657,POINT(2.34287 48.86037)
building_660,POINT(2.33953 48.86191)
building_661,POINT(2.33791 48.86245)
building_662,POINT(2.33471 48.863)
building_663,POINT(2.33449 48.86308)
building_664,POINT(2.33432 48.86313)
building_665,POINT(2.33408 48.86321)
building_666,POINT(2.33354 48.86338)
building_667,POINT(2.33308 48.86353)
building_668,POINT(2.33283 48.86361)
building_669,POINT(2.33248 48.86381)
building_670,POINT(2.33124 48.86413)
building_671,POINT(2.33115 48.86415)
building_673,POINT(2.33049 48.86437)
building_676,POINT(2.32919 48.86479)
building_677,POINT(2.32886 48.8649)
building_678,POINT(2.32871 48.86495)
building_679,POINT(2.32855 48.865)
building_680,POINT(2.32765 48.86529)
building_682,POINT(2.32572 48.86612)
building_683,POINT(2.32485 48.8662)
building_684,POINT(2.32459 48.86628)
building_685,POINT(2.33496 48.86293)
building_686,POINT(2.32588 48.86586)
building_687,POINT(2.32618 48.86609)
building_689,POINT(2.32635 48.86631)
building_690,POINT(2.34323 48.86025)
building_692,POINT(2.3437 48.86078)
building_694,POINT(2.34386 48.86109)
building_695,POINT(2.34359 48.86022)
building_696,POINT(2.34366 48.86039)
building_701,POINT(2.344 48.86104)
building_702,POINT(2.34713 48.85848)
building_703,POINT(2.34807 48.85989)
building_704,POINT(2.34805 48.86015)
building_706,POINT(2.34764 48.85922)
building_708,POINT(2.34768 48.85931)
building_709,POINT(2.3477 48.85936)
building_710,POINT(2.34774 48.85941)
building_711,POINT(2.34777 48.85946)
building_712,POINT(2.34849 48.8609)
building_713,POINT(2.348 48.86129)
building_714,POINT(2.34806 48.86137)
building_716,POINT(2.34898 48.86157)
building_717,POINT(2.349 48.86161)
